user_id,movie_id,rating,timestamp
1,7864,6.6,1655829789
1,1388,7.8,1715076766
1,3609,6.8,1687211142
1,6543,5.9,1671862451
1,1036,7.9,1707361609
1,1666,7.5,1678054157
1,8049,5.8,1711441349
1,1840,7.4,1736011200
1,6184,6.2,1740226548
1,2939,7.8,1685446468
1,7952,6.0,1673231178
1,1961,6.8,1730759303
1,1667,8.4,1734318035
1,1282,8.6,1719976021
1,4247,6.5,1705081159
1,2501,7.6,1696381709
1,923,8.0,1735868294
1,5833,6.8,1702989487
1,6452,6.0,1709767908
1,3099,6.7,1719978284
1,1008,8.2,1670019458
1,2972,6.9,1702674794
1,5472,7.0,1709869746
1,3731,6.8,1704930884
1,7500,7.2,1697385212
1,3941,6.7,1671409407
1,7749,6.2,1712925878
1,7247,6.1,1670037878
1,403,8.6,1665599787
1,2507,7.8,1707800030
1,5782,6.4,1746648624
1,7657,6.1,1711734408
1,336,8.1,1708305712
1,5140,6.2,1722214142
1,6724,6.5,1663936776
1,9563,5.2,1710746564
1,1026,8.6,1719270160
1,5030,6.3,1687440630
1,6525,7.1,1666513809
1,6244,5.7,1684132795
1,294,7.8,1729104008
1,8116,5.8,1721308735
1,5104,6.2,1693502203
1,6735,7.0,1682751730
1,4392,6.9,1732156104
1,5395,5.8,1656745699
1,528,8.4,1708768338
1,1756,6.9,1670907669
1,3801,6.6,1742790498
1,9053,6.0,1700541990
1,6865,6.6,1728636217
1,9709,6.2,1735526267
1,5296,7.2,1719721142
1,6518,6.6,1677888763
1,4524,6.7,1729177187
1,4445,6.4,1706929060
1,7564,6.5,1662402706
1,3191,7.9,1739613772
1,5659,6.8,1709305392
1,598,7.9,1736669658
1,2511,7.3,1733542539
1,5078,6.1,1688790794
1,2344,6.7,1738419439
1,1410,7.8,1702181693
1,1046,7.6,1686221177
1,3386,7.7,1663449410
1,2601,7.5,1687471119
1,284,7.9,1654760585
1,2792,6.8,1740901631
1,5885,7.1,1704009821
1,7429,5.7,1709887407
1,4164,7.7,1718906149
1,6568,6.5,1726917210
1,1519,7.5,1708168844
1,6347,6.9,1710604558
1,955,7.6,1730598061
1,8995,5.9,1704747891
1,9337,6.2,1700344936
1,2600,7.2,1699654179
1,4649,6.1,1709578043
1,83,8.2,1661557673
1,4484,7.1,1654545915
1,2738,7.0,1661206115
1,1162,7.7,1707322118
1,3648,7.1,1704758681
1,8874,5.7,1681512625
1,2089,7.6,1733938399
1,504,8.2,1665421977
1,4934,6.9,1721159764
1,1819,8.1,1703107338
2,3248,7.8,1704853642
2,8136,6.3,1671906275
2,1267,7.5,1698934275
2,9763,6.0,1697980295
2,1914,7.1,1661957960
2,3850,6.5,1669363179
2,5082,6.7,1692045368
2,1445,7.9,1700253315
2,8685,6.1,1676440034
2,1211,7.0,1702939838
2,6159,6.8,1745785174
2,3936,7.0,1733395856
2,1763,7.2,1684886421
2,1341,8.0,1682890808
2,4224,7.3,1727361385
2,4534,6.6,1709361724
2,2157,7.8,1746460234
2,7997,6.0,1723711861
2,7831,5.4,1702545406
2,7604,6.5,1713066063
2,1582,7.8,1702829129
2,308,8.0,1701953854
2,6768,6.2,1746045601
2,9935,5.4,1662524729
2,5496,6.9,1715943309
2,4529,7.2,1654459104
2,5549,6.6,1686303544
2,7676,5.5,1731756036
2,5584,6.9,1714702228
2,8124,5.7,1739951852
2,8820,5.4,1668557904
2,4843,7.2,1686822534
2,8059,6.0,1671145235
2,8482,5.7,1653982591
2,1590,8.4,1721085568
2,810,7.9,1653683178
